Permit Number,StatusDesc,City,Operating Name,Street Address,Website,Last Updated
R1374-2028,Active,Saskatoon,The Hit Pit - Saskatoon,904 Central Ave,www.thehitpitstore.wixsite.com,2025-10-28
R1469-2026,Active,Vawn,The Highdaway Shop - Vawn,114 1st St E,N/A,2025-10-28
R1311-2028,Active,Saskatoon,The Green Moon Curated Cannabis  - Saskatoon,610 Duchess St,www.thegreenmoon.ca,2025-10-28
R1333-2028,Active,Wynyard,The Green Box Cannabis Inc. - Wynyard,202 Ave B E,www.thegreenboxcannabis.com,2025-10-28
R1098-2028,Active,Unity,The Green Box - Unity,185 2nd Ave S,www.thegreenboxcannabis.com,2025-10-28
R1424-2026,Active,Swift Current,The Grass Hut Cannabis Company - Swift Current,D-42 Central Ave N,www.thegrasshutcannabisco.com,2025-10-28
R1353-2028,Active,Regina,The Coughy Shop Cannabis - Regina,4621 Albert St,www.thecoughyshop.net,2025-10-28
R1564-2028,Active,Regina,The Coughy Shop - Regina,3885 Sherwood Dr.,,2025-10-28
R1477-2026,Active,Langham,The Buzz Barn Cannabis Inc. - Langham,213 Main St,www.buzzbarn.ca,2025-10-28
R1501-2027,Active,Regina,The Bakery - Regina,40 - 4430 4th Ave.,www.thebakery.ca/shop/,2025-10-28
R1324-2028,Active,Yorkton,Tack'd Cannabis - Yorkton,D-132 Broadway St W,www.tackdcannabis.ca,2025-10-28
R1202-2027,Active,Martensville,Tack'd Cannabis - Martensville,7-40 Centennial Dr,www.tackdcannabis.ca,2025-10-28
R1282-2027,Active,Biggar,TACK'D Cannabis - Biggar,220 Main St,www.tackdcannabis.ca,2025-10-28
R1371-2028,Active,Leader,Squirrelly Shirley's Cannabis Store - Leader,2-111 1st Ave,N/A,2025-10-28
R1265-2027,Active,Emma Lake,Sprucebuds Cannabis - Emma Lake,101 Southshore Dr,www.sprucebuds.ca,2025-10-28
R1340-2028,Active,Candle Lake,Sprucebuds Cannabis - Candle Lake,2 Bayview Dr,www.sprucebuds.ca,2025-10-28
R1011-2027,Active,Moose Jaw,Spiritleaf - Moose Jaw,6-10-1251 Main St N,www.spiritleaf.ca,2025-10-28
R1346-2028,Active,Indian Head,Smoke Show Cannabis - Indian Head,C-210 Hwy 56,N/A,2025-10-28
R1584-2028,Active,Regina,Smoke Show Cannabis  - Glencairn - Regina,1687 Dewdney Ave,,2025-10-28
R1220-2027,Active,Carnduff,Small Town Buds Cannabis - Carnduff,117 Broadway St,www.smalltownbudscannabis.com,2025-10-28
R1277-2027,Active,Regina,Save on Grass Cannabis Company - Regina,A-3405 Saskatchewan Dr,www.saveongrasscannabiscompany.com,2025-10-28
